"iso","model","rcp","ssp","rawtotal","flextotal","f2mort","f2total","meantas","impact_source","case_gamma","case_population","case_batch_collapsed"
"GTM","IIASA GDP","rcp45","SSP4",-14.9937675079487,-16.3855788506952,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"GTM","IIASA GDP","rcp45","SSP4",-14.9937675079487,-20.0779904961373,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"GTM","IIASA GDP","rcp45","SSP4",-14.9937675079487,-24.5261921961674,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"GTM","IIASA GDP","rcp45","SSP4",-14.9937675079487,-14.2434124482086,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"BIH","IIASA GDP","rcp45","SSP4",-21.0319598937923,-21.3528852871051,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"BIH","IIASA GDP","rcp45","SSP4",-21.0319598937923,-20.2543625293861,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"BIH","IIASA GDP","rcp45","SSP4",-21.0319598937923,-13.6831948267991,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"BIH","IIASA GDP","rcp45","SSP4",-21.0319598937923,6.21725103607934,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"BIH","IIASA GDP","rcp45","SSP4",-21.0319598937923,-21.4083220567752,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"KWT","IIASA GDP","rcp45","SSP4",45.0424186146629,33.0598034133953,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"KWT","IIASA GDP","rcp45","SSP4",45.0424186146629,40.7111184837811,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"KWT","IIASA GDP","rcp45","SSP4",45.0424186146629,59.6051138416378,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"KWT","IIASA GDP","rcp45","SSP4",45.0424186146629,92.8273634175769,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"KWT","IIASA GDP","rcp45","SSP4",45.0424186146629,32.0701168582345,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"JOR","IIASA GDP","rcp45","SSP4",7.75706108870468,10.7149926912304,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"JOR","IIASA GDP","rcp45","SSP4",7.75706108870468,13.0635393257141,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"JOR","IIASA GDP","rcp45","SSP4",7.75706108870468,18.7791081374502,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"JOR","IIASA GDP","rcp45","SSP4",7.75706108870468,28.6476363174065,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"JOR","IIASA GDP","rcp45","SSP4",7.75706108870468,10.4093277120984,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"BLM","IIASA GDP","rcp45","SSP4",-20.4596249984229,-27.2833355246782,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"BLM","IIASA GDP","rcp45","SSP4",-20.4596249984229,-31.5857968138247,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"BLM","IIASA GDP","rcp45","SSP4",-20.4596249984229,-40.9250032870173,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"BLM","IIASA GDP","rcp45","SSP4",-20.4596249984229,-54.5666710493564,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"BLM","IIASA GDP","rcp45","SSP4",-20.4596249984229,-26.6979548771978,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"TWN","IIASA GDP","rcp45","SSP4",-5.79370793114711,-7.34050265689775,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"TWN","IIASA GDP","rcp45","SSP4",-5.79370793114711,-8.49806744569027,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"TWN","IIASA GDP","rcp45","SSP4",-5.79370793114711,-11.0107539853466,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"TWN","IIASA GDP","rcp45","SSP4",-5.79370793114711,-14.6810053137955,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"TWN","IIASA GDP","rcp45","SSP4",-5.79370793114711,-7.18300768366621,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"DMA","IIASA GDP","rcp45","SSP4",-22.281694713794,-28.2863352427182,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"DMA","IIASA GDP","rcp45","SSP4",-22.281694713794,-32.6849959636095,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"DMA","IIASA GDP","rcp45","SSP4",-22.281694713794,-42.1749235148617,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"DMA","IIASA GDP","rcp45","SSP4",-22.281694713794,-55.8937922208613,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"DMA","IIASA GDP","rcp45","SSP4",-22.281694713794,-27.6865612385838,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"LBR","IIASA GDP","rcp45","SSP4",0.0644885282233251,-1.51380654532077,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"LBR","IIASA GDP","rcp45","SSP4",0.0644885282233251,-0.14338574254045,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"LBR","IIASA GDP","rcp45","SSP4",0.0644885282233251,4.33990100055979,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"LBR","IIASA GDP","rcp45","SSP4",0.0644885282233251,14.6006824254676,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"LBR","IIASA GDP","rcp45","SSP4",0.0644885282233251,-1.66638229665274,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"MDV","IIASA GDP","rcp45","SSP4",-26.1808878154026,-31.7972255881206,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"MDV","IIASA GDP","rcp45","SSP4",-26.1808878154026,-36.8115073672456,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"MDV","IIASA GDP","rcp45","SSP4",-26.1808878154026,-47.695838382181,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
"MDV","IIASA GDP","rcp45","SSP4",-26.1808878154026,-63.5944511762413,NA,NA,4,"fixed_to_4","all_gamma_values","population_weighted","FALSE"
"MDV","IIASA GDP","rcp45","SSP4",-26.1808878154026,-31.1149966690789,NA,NA,1.95708877699716,"data_meantas_country","all_gamma_values","population_weighted","FALSE"
"JAM","IIASA GDP","rcp45","SSP4",-24.5348329865904,-24.8495684278642,NA,NA,2,"fixed_to_2","all_gamma_values","population_weighted","FALSE"
"JAM","IIASA GDP","rcp45","SSP4",-24.5348329865904,-28.3663668868628,NA,NA,2.31539115041523,"data_meantas","all_gamma_values","population_weighted","FALSE"
"JAM","IIASA GDP","rcp45","SSP4",-24.5348329865904,-35.6234123057997,NA,NA,3,"fixed_to_3","all_gamma_values","population_weighted","FALSE"
