"year","rcp45","rcp85"
2210,2.75034905699292,7.46145836872203
2211,2.75627170660339,7.48194408490876
2212,2.76140104277001,7.50114265333885
2213,2.76358840602806,7.51776277379972
2214,2.76409937922698,7.53222945129234
2215,2.76250932722022,7.54418497395056
2216,2.76017266968083,7.55637131184269
2217,2.7594759128748,7.56895774049652
2218,2.75959004530758,7.5826178005128
2219,2.76307265133251,7.59890551307827
2220,2.7705921225295,7.61861471671068
2221,2.77905801008651,7.63869952043643
2222,2.79039876384528,7.66265256039916
2223,2.79738905216957,7.68071250530659
2224,2.80022476349883,7.69497249493149
2225,2.79945628664188,7.70627056400398
2226,2.79670011375261,7.71436909969345
2227,2.79463837863774,7.72348580961528
2228,2.79272721427697,7.73181256617107
2229,2.79348106094308,7.74342739539323
2230,2.79826589019328,7.75802822361912
2231,2.80514994230136,7.7750526842594
2232,2.8111709308588,7.79187810730438
2233,2.81735988146413,7.8092873537785
2234,2.82057369279166,7.82328421961425
2235,2.82187816590555,7.83549052393222
2236,2.82062953399553,7.84299544038335
2237,2.81898660178904,7.85196087826949
2238,2.81817454919576,7.85987951912348
2239,2.81812754009914,7.86872958606243
2240,2.82036925321498,7.88141947680907
2241,2.8275375021795,7.89661775144756
2242,2.83642649422135,7.9166252268345
2243,2.84434095763827,7.93303346386715
2244,2.85017311007493,7.94808859613205
2245,2.85216928713611,7.95766420560433
2246,2.85105203184336,7.9659192678438
2247,2.84986604338934,7.97351933995924
2248,2.84792674891352,7.97988432262646
2249,2.84552760693856,7.98508188480952
2250,2.84358502950105,7.99186413810583
2251,2.8424527274437,7.99900688911238
2252,2.8437024840232,8.00792088262368
2253,2.84823251535442,8.02024219545424
2254,2.8552052947244,8.03570891984299
2255,2.86158848314859,8.04962098729401
2256,2.86773995666572,8.06382209036791
2257,2.87213298143176,8.07569239872434
2258,2.87376002569085,8.08456461464496
2259,2.87435879922563,8.09264658773341
2260,2.8716659628001,8.0975908049383
2261,2.86890110206809,8.10229846243072
2262,2.86769387030624,8.1082174533837
2263,2.86770569903468,8.11612414912515
2264,2.87174251215568,8.12743763259934
2265,2.87954351595755,8.14232817972221
2266,2.88867883988333,8.15858743756993
2267,2.89891195301558,8.17545140195927
2268,2.90374260998454,8.1862829361314
2269,2.9054344505934,8.19476894288458
2270,2.90390881544857,8.19940507170322
2271,2.9014090364281,8.20398924211552
2272,2.89849275321758,8.20704005009421
2273,2.89668873412192,8.21204815005087
2274,2.89819250765566,8.22104937578585
2275,2.90350366022056,8.23226907730406
2276,2.91035394865207,8.24552059086708
2277,2.9154504275548,8.25760524070557
2278,2.91936455363187,8.26799920773175
2279,2.92075857728811,8.27548265507357
2280,2.91922972396493,8.28053208900574
2281,2.91684496419999,8.28428140013826
2282,2.91547033102632,8.28898792786346
2283,2.91431224687813,8.29477092368212
2284,2.91534350949551,8.30148393837864
2285,2.92079731839781,8.31484622168774
2286,2.93004069563336,8.32971130023081
2287,2.93829072874014,8.34529425947459
2288,2.94486072296571,8.35864623959181
2289,2.94551560113063,8.36503849923185
2290,2.9447733549308,8.37138207105399
2291,2.94230454882448,8.37529106045877
2292,2.9393034788645,8.37819867722006
2293,2.93628541143519,8.38088872360217
2294,2.93572100078552,8.38729829038305
2295,2.93978072712898,8.39790830340501
2296,2.94604037750697,8.41017531088009
2297,2.95500457047866,8.42462347233579
2298,2.96214696198081,8.43715537775445
2299,2.96497607994336,8.44622350593647
2300,2.96254522379931,8.45033789026502
2301,2.96174072001956,8.45577382781188
2302,2.96205532717714,8.46064850124889
2303,2.9629619680828,8.46526072306264
2304,2.963581712161,8.47144971733801
2305,2.9647255208019,8.47861688320919
2306,2.96608822815497,8.48552326965169
2307,2.96754677915535,8.49269529522996
2308,2.96938983381402,8.49973337940972
2309,2.97116399529313,8.50665616846092
2310,2.97285345532969,8.51381220352807
2311,2.97465117258413,8.52182810301913
2312,2.9763952494398,8.52979983290555
2313,2.97828383124286,8.53608197640123
2314,2.98006221613531,8.54322297671522
2315,2.98183961819407,8.54975920837918
2316,2.98356415961409,8.55718491490421
2317,2.98545814144593,8.56489344341898
2318,2.98702173369497,8.57129131775474
2319,2.98858743043596,8.57886446274595
2320,2.99050299537445,8.58550185801596
2321,2.99238339993163,8.59257679599398
2322,2.99395495946345,8.59981061590144
2323,2.99578123173057,8.60650578638912
2324,2.99753771969934,8.61416316601125
2325,2.99938335011317,8.6213697876274
2326,3.00129190010401,8.62792670813792
2327,3.00296873057566,8.63511052842565
2328,3.004661389564,8.641486803476
2329,3.00613392973724,8.64852363971054
2330,3.00781884569169,8.6560235750924
2331,3.00967094798972,8.66430681324863
2332,3.01157862469745,8.67024145425923
2333,3.01325231264046,8.67707895148502
2334,3.01488424736714,8.68298174036485
2335,3.0164742288432,8.68939471584416
2336,3.01838520027636,8.69643802702969
2337,3.02009234436261,8.7036010452885
2338,3.02175886273606,8.70921275007017
2339,3.02363152415393,8.7150768972526
2340,3.0255106862117,8.72147364102873
2341,3.0269576624651,8.72841169166564
2342,3.02880067198145,8.73528299299108
2343,3.03051488382631,8.74155623172149
2344,3.03192924631718,8.74781699608956
2345,3.03379934354221,8.75510436060156
2346,3.03535874982494,8.76171160606049
2347,3.03672421306148,8.76852469244001
2348,3.03852808238435,8.77437826422487
2349,3.04026219857065,8.78047164562041
2350,3.04186258655079,8.7871061669437
2351,3.04327108434622,8.7928699558088
2352,3.04492763312358,8.7988411592103
2353,3.0465592715141,8.80548588263856
2354,3.04806958513616,8.81126716485172
2355,3.0498362257357,8.81697903174148
2356,3.05130082527204,8.82339848236376
2357,3.05305881513949,8.82930550763567
2358,3.05477858576495,8.83491558792747
2359,3.05628584893864,8.84046086604477
2360,3.05776466092068,8.84722950377789
2361,3.05942092655557,8.85302644661737
2362,3.06093437983308,8.85878232183463
2363,3.06219782521088,8.86486795847384
2364,3.06365033216534,8.87215326931442
2365,3.06525173031787,8.87896855141095
2366,3.06694988365316,8.88517571425597
2367,3.06860170294969,8.89213576600041
2368,3.07039323045833,8.89752450993926
2369,3.07191672014827,8.9037021136312
2370,3.07318310081275,8.90929531663256
2371,3.0747714757504,8.9151956723125
2372,3.07617761166664,8.92097948978277
2373,3.07775047409749,8.92739760462834
2374,3.07916879591707,8.93358381728927
2375,3.08063760475858,8.93904874232502
2376,3.0821496928163,8.94556664722376
2377,3.08385981528532,8.95131236763046
2378,3.08530417837575,8.95732387083236
2379,3.0870154447029,8.96312375205988
2380,3.08847837457984,8.96896428031816
2381,3.08983170624128,8.97463729925659
2382,3.09133362611995,8.98015351637954
2383,3.09286275896519,8.98595027491861
2384,3.09423662755186,8.99173499272946
2385,3.09551084618042,8.99845617355137
2386,3.09716394522983,9.00421075353038
2387,3.09842371050105,9.00993509703396
2388,3.09983499150997,9.01647915207432
2389,3.10149056983015,9.02218238295531
2390,3.10273432056969,9.02852797951701
2391,3.10426414572537,9.0343762531315
2392,3.10573206031699,9.03869622067502
2393,3.10701257268711,9.04448672287186
2394,3.10831326635852,9.04984055583727
2395,3.10975634622483,9.05470817530928
2396,3.11100926276299,9.06013529549018
2397,3.11216246021489,9.06494280547924
2398,3.11377403882436,9.07020634964048
2399,3.11524408344172,9.07496383973355
2400,3.11674288820004,9.08010913642817
2401,3.11823429582441,9.0848188572939
2402,3.1196390594098,9.08977374869164
2403,3.12119525287143,9.0950653849452
2404,3.12232690718921,9.10065753510061
2405,3.1233627645753,9.10532918321115
2406,3.12465486365875,9.11020231335533
2407,3.12600302139865,9.11556577833068
2408,3.12700827793482,9.11997025333611
2409,3.12828675607087,9.1248861622487
2410,3.12970127610076,9.1296260718721
2411,3.13087314149681,9.13499218627042
2412,3.13208032466016,9.14021078100865
2413,3.13339770746893,9.14518842357727
2414,3.13469533565439,9.15001543038455
2415,3.13610613862854,9.15498369019879
2416,3.13742671365548,9.15937105958308
2417,3.13863121327023,9.16408741862434
2418,3.13971024496003,9.16885924001598
